1;VQSCJE;AAAGBGUUNE;1628128864 Dell Way;;MKHPWIJ;SD;74324;US;1;AAAGBGUUNE@dell.com;1628128864;2;2008508012164384;2011/12;user4180;password;72;60000;M
5;DRMYMX;AAEAUODIEF;2655239848 Dell Way;;WPBAGWD;TX;93106;US;1;AAEAUODIEF@dell.com;2655239848;5;5367479214910418;2008/08;user2602;password;49;40000;F
13;OJMTXU;AALUYWBMOG;6319446541 Dell Way;;KPBXCSC;LA;14685;US;1;AALUYWBMOG@dell.com;6319446541;3;2385808294173330;2011/04;user1585;password;31;40000;M
14;DARAQS;AANOLPUJWT;6770946523 Dell Way;;KBAOFEO;AL;32670;US;1;AANOLPUJWT@dell.com;6770946523;5;9754494500346484;2012/04;user4374;password;44;20000;F
17;RAYNQY;AAQDQKVTMW;6554355798 Dell Way;;ONAHTUE;CA;11693;US;1;AAQDQKVTMW@dell.com;6554355798;3;5312853781972081;2012/05;user1064;password;68;80000;F
20;WFPJQO;AARNRJYABZ;9966855545 Dell Way;;QCIFSXL;HI;25184;US;1;AARNRJYABZ@dell.com;9966855545;5;8936975180171431;2011/07;user7688;password;70;60000;M
21;YQOWVJ;AASLMDGICM;3352477579 Dell Way;;QPXRSML;MN;59654;US;1;AASLMDGICM@dell.com;3352477579;3;1337094429880380;2010/10;user8995;password;29;60000;F
22;PWGKGT;AASNAZCBEQ;2529487001 Dell Way;;PPCDMTC;OR;21464;US;1;AASNAZCBEQ@dell.com;2529487001;1;4470887362957001;2008/12;user5043;password;66;80000;M
23;XDSRVR;AAUYFQTLQE;8465634093 Dell Way;;UANGBCM;AZ;91595;US;1;AAUYFQTLQE@dell.com;8465634093;2;3506217957474291;2011/03;user9268;password;54;60000;F
31;XYKIWN;ABEBBUOLDG;6129438796 Dell Way;;MDBHPYV;TX;86980;US;1;ABEBBUOLDG@dell.com;6129438796;3;1415432384237647;2011/02;user3467;password;35;80000;F
32;HTATYX;ABFWKNCTFY;2006021813 Dell Way;;LIUFMHJ;WY;86357;US;1;ABFWKNCTFY@dell.com;2006021813;2;8442074856255204;2010/11;user6418;password;30;100000;M
35;VGKBQE;ABHHXZRBRV;9256096047 Dell Way;;UVULNUT;AL;70381;US;1;ABHHXZRBRV@dell.com;9256096047;1;3629967872984707;2011/07;user8392;password;22;80000;M
39;BSLRYT;ABLEUNBYXK;8207401780 Dell Way;;EYOSQIW;GA;81644;US;1;ABLEUNBYXK@dell.com;8207401780;3;1792619829066097;2012/02;user4134;password;59;100000;M
41;NVXUVA;ABLVWOOWSX;7591084794 Dell Way;;YFWACRT;RI;61630;US;1;ABLVWOOWSX@dell.com;7591084794;3;7511316983960570;2009/10;user8849;password;18;80000;M
42;MLOZPK;ABNGLCWFEZ;8529497486 Dell Way;;VIRDBWJ;FL;35317;US;1;ABNGLCWFEZ@dell.com;8529497486;3;5122868789359927;2010/03;user2483;password;18;100000;M
43;TQBGXD;ABNRAJDXCS;1681866704 Dell Way;;LHBIKTD;IL;46880;US;1;ABNRAJDXCS@dell.com;1681866704;4;5859396423678846;2009/03;user8490;password;23;20000;M
44;HWVUIK;ABNZGTADRD;1948312838 Dell Way;;ZJBYYUP;UT;83632;US;1;ABNZGTADRD@dell.com;1948312838;4;7530551129952074;2012/07;user8968;password;83;20000;F
46;UXDZXH;ABQLMRRRLK;8497097478 Dell Way;;LBTUVTF;IL;24741;US;1;ABQLMRRRLK@dell.com;8497097478;5;3317733409348875;2009/07;user8459;password;54;20000;F
47;BHXQOJ;ABTGLCHBNY;7824892065 Dell Way;;JXPYCGK;OR;43750;US;1;ABTGLCHBNY@dell.com;7824892065;3;2832651307340711;2009/02;user2900;password;55;40000;F
50;QXTCKR;ABUHUQSAFG;4014163305 Dell Way;;PFIPQEB;DC;43844;US;1;ABUHUQSAFG@dell.com;4014163305;3;4884245259687305;2009/12;user1752;password;29;100000;M
51;MSKTRG;ABVXWLAEXZ;9875013858 Dell Way;;TEWSGFF;MA;46643;US;1;ABVXWLAEXZ@dell.com;9875013858;1;4503243089187890;2012/05;user9225;password;27;60000;F
52;TKEMQC;ABYHLMOWIK;1968951434 Dell Way;;MHBWOKN;CA;22579;US;1;ABYHLMOWIK@dell.com;1968951434;4;4599606577772647;2011/07;user5164;password;40;60000;M
53;SVPSNK;ABZGKLSDEA;5085487408 Dell Way;;NTOBAWR;OR;78794;US;1;ABZGKLSDEA@dell.com;5085487408;2;3019270529970527;2011/04;user9541;password;33;60000;F
