customerId|firstname|lastname|address|city|zipcode|state|createdDate
120502|FREDRIC|GABLES|Franklin Ln 25949|Waterville|56096|MN|2005-04-15
120503|ARNETTA|FERRERO|Yucca Valley Rd 25742|Duquesne|15110|PA|2006-07-10
120504|MAGARET|KLEHN|Chiswick Ct 26200|Claysburg|16625|PA|2006-05-01
120505|TERA|LALK|Santa Clara Truck Trl 18532|Jones|73049|OK|2006-07-01
120506|PEARLY|SCHRAMECK|Alberto Ct 26131|Howard|57349|SD|2005-07-07
120507|INES|BUENO|Winterdale Dr 28073|El Rito|87530|NM|2006-12-25
120508|ELAINA|CONSUEGRA|Vasquez Cyn Rd 18846|Cavalier|58220|ND|2006-10-03
120509|GLADYS|LAMORTE|Alyssum Pl 24373|Port Washington|53074|WI|2005-11-14
120510|ERNEST|REAY|Grove Av 22937|San Diego|92196|CA|2005-08-21
120511|SHEMEKA|WELTCH|Buchanan Wy 30063|Hovland|55606|MN|2006-04-01
120512|CATINA|ARLETH|Rodeffer Pl 22027|Birmingham|35261|AL|2006-10-10
120513|MARCIE|DEVOS|Strambino Ct 26507|Fairdale|40118|KY|2005-11-01
120514|EDDA|DARRINGTON|Picadilly Pl 28214|Miami|33178|FL|2005-12-19
120515|STACY|WALVATNE|Perlman Pl 25775|FPO|96629|AP|2006-06-23
120516|NANCEE|HORACE|13TH Pl 22618|Odessa|79761|TX|2006-09-04
120517|MISTI|HEATLEY|Devell Rd 13290|Menges Mills|17346|PA|2005-11-04
120518|SHEILA|GUILLEREAULT|Bluesky Wy 31255|Saint Gabriel|70776|LA|2006-03-22
120519|CLARK|KUEHN|Las Palmas St 24341|West Long Branch|07764|NJ|2005-08-05
120520|RUBIN|SMELLEY|Fieldwood Ct 27208|Skagway|99840|AK|2005-05-15
120521|DELANA|CARBONI|Scallion Dr 21961|Atmore|36504|AL|2006-06-27
120522|VIRGIL|REIFSTECK|Rancho Tesoro Dr 18747|Norfolk|23515|VA|2006-06-15
120523|LEAH|MORO|Neblina Ct 25692|Bayboro|28515|NC|2005-11-17
120524|AURORA|PLACERES|Firebrand Dr 27783|Douglas City|96024|CA|2006-04-01
120525|TOBIE|ROTONDI|Greenwood Pl 28627|Irvington|22480|VA|2005-08-26
120526|MOIRA|HEAD|Melissa Ln 19821|Grand Junction|81506|CO|2006-10-28
120527|FRANCOISE|PROSPAL|Commerce Center Dr 20496|Brockton|02401|MA|2006-09-16
120528|LORNA|FERLAND|Sandy Dr 18139|Marble Canyon|86036|AZ|2005-05-29
