1;Seth;Wiggins;1403 Downing Square;Apt #100812;Sugar Hill;ME;4157;USA;1;headphonessecretly@ma1l2u.com;857-950-7036;2;2008508012164384;2011/12;user4180;password;72;60000;M
5;Billy;Velazquez;1408 Perryton Road;;Barnesville;UT;84283;USA;1;bvelazquez@ma1lbox.biz;502-883-0982;5;5367479214910418;2008/08;user2602;password;49;40000;F
14;Marty;Tate;1504 Crock Trail;;Eastman;KS;67192;USA;1;mtate@hotma1l.net;901-277-4121;5;9754494500346484;2012/04;user4374;password;44;20000;F
17;Brad;Love;616 Kennedy Heights;;Avondale Estates;ID;83638;USA;1;blove@everyma1l.biz;763-912-0138;3;5312853781972081;2012/05;user1064;password;68;80000;F
20;Anna;Hood;481 Loudon Ridge;;Pearson;NM;88366;USA;1;ahood@ma1l2u.org;510-463-0052;5;8936975180171431;2011/07;user7688;password;70;60000;M
23;Wyatt;Nolan;624 Chatham Blvd;;Stone Mountain;ME;4699;USA;1;wnolan@somema1l.us;814-337-7074;2;3506217957474291;2011/03;user9268;password;54;60000;F
31;Helen;Moon;1693 Chevington Heights;;Stockbridge;NH;3695;USA;1;hmoon@ma1l2u.us;710-030-3534;3;1415432384237647;2011/02;user3467;password;35;80000;F
47;Kristy;Stone;939 Charlene Boulevard;;Homerville;TN;37476;USA;1;kstone@gma1l.com;415-631-4485;3;2832651307340711;2009/02;user2900;password;55;40000;F
50;Benjamin;Duke;833 Blackstone Path;;Stone Mountain;MS;38887;USA;1;bduke@yah00.us;615-087-9613;3;4884245259687305;2009/12;user1752;password;29;100000;M
52;Tony;McIntosh;1201 Dorothy Way;;Hampton;CA;95712;USA;1;doof@ma1lbox.biz;878-107-0888;4;4599606577772647;2011/07;user5164;password;40;60000;M
54;Sean;Bishop;1722 Short Ln;;Morgan;WV;26329;USA;1;sbishop@yah00.info;631-865-9840;1;3487513878848404;2011/06;user3162;password;62;80000;F
