4;Caleb;Bartlett;1527 Mundy Park;;Baconton;IA;51988;USA;2;wherewith@ma1l2u.info;309-671-5453;4;6620672855060548;2012/10;user18555;password;45;40000;M
8;Michelle;Campbell;597 Wedgewood Run;Apt #100739;Adairsville;HI;22928;USA;2;illshow@hotma1l.us;507-179-3371;2;8418759502936155;2009/05;user15826;password;77;40000;F
9;Chase;Cervantes;705 Dresden Circle;;Thomaston;GA;30841;USA;2;ccervantes@yah00.com;623-639-7371;5;5623446553479881;2009/07;user12652;password;25;40000;F
10;Raymond;Nelson;1627 Gaslight Boulevard;;Graham;UT;84244;USA;2;rnelson61@everyma1l.co.uk;913-976-6078;3;7366526362486184;2012/04;user16022;password;74;60000;F
16;Kevin;Myers;1672 Moorewood St;;Warrenton;WV;25007;USA;2;kmyers@gma1l.net;361-811-5539;3;7227611752692611;2012/06;user11879;password;35;60000;M
18;Raymond;Michael;1481 Candlestick Drv;;Arlington;ME;4276;USA;2;rmichael@gma1l.us;810-627-9082;2;6324550307821483;2009/07;user13476;password;40;20000;F
24;Roger;Sweeney;1193 Colony Place;;Buena Vista;TX;76639;USA;2;rsweeney@everyma1l.org;949-565-5002;1;3964398718439043;2008/06;user15406;password;21;100000;F
25;Bobbie;Dean;1033 Patricia Court;;Stillwell;SC;29501;USA;2;illenter@somema1l.com;435-018-6965;2;4317306459415704;2010/12;user15256;password;56;100000;M
26;Ron;Lowery;853 Lawn Lane;;Adairsville;KS;67588;USA;2;sillthe@ma1l2u.biz;650-228-1810;4;8133483515586705;2011/11;user12328;password;76;100000;M
27;Randy;Rowland;608 Friendship Street;;Elberton;AR;72275;USA;2;willwe@b1zmail.biz;231-052-6319;4;5016284395474941;2011/10;user19120;password;57;80000;M
28;Barbara;Lyons;1131 Miami Drv;;Milan;OR;97786;USA;2;opencaptain@ma1l2u.biz;818-075-8356;2;2066565092653036;2011/11;user14622;password;43;20000;F
29;Ted;Lynn;1629 Brandywine Rd;;Warrenton;MN;56505;USA;2;wordslock@hotma1l.us;212-255-2340;1;6555233865976334;2009/12;user16842;password;62;60000;M
30;Gail;Neal;1343 Bardith Path;;Reidsville;MD;20967;USA;2;gneal92@ma1l2u.us;559-349-9287;4;1842843560036271;2009/11;user13804;password;33;20000;F
33;Pat;Bryan;1314 Montague Path;;Baconton;NC;27523;USA;2;booncaptain@gma1l.co.uk;561-310-1007;2;9479028847534210;2011/07;user17910;password;90;80000;M
34;Sherry;Mercado;433 London Ave;;Fairmont;VA;24520;USA;2;smercado@hotma1l.net;902-912-9952;2;4266592064406723;2009/06;user12022;password;23;80000;F
