11110;72900743997;Roy;Luke;C.;Edgeham Hollow Winchester Way;London;;RG1 9SP;UK;15;(71) 555-5598;;1914-02-02 00:00:00;M;$90K - $110K;M;0;0;Graduate Degree;1996-01-01 00:00:00;Golden;Store Permanent Checker;Y;2
11111;53864839559;Runyon;Richard;;7 Houndstooth Rd.;London;;WG2 7LT;UK;16;(71) 555-4444;;1914-02-02 00:00:00;S;$130K - $150K;M;2;2;Bachelors Degree;1996-01-01 00:00:00;Normal;Store Temporary Checker;Y;2
11346;10030121148;Villa;Homer;X.;908 W. Capital Way;Tacoma;WA;98401;USA;18;(206) 555-9482;;1914-02-02 00:00:00;S;$30K - $50K;F;3;1;High School Degree;1996-01-01 00:00:00;Golden;Store Temporary Stocker;Y;0
11112;99935718686;Rupert;Sheila;L.;Coventry HouseMiner Rd.;London;;EC2 7JR;UK;17;(71) 555-7773;;1914-02-02 00:00:00;M;$10K - $30K;F;1;0;Partial High School;1996-01-01 00:00:00;Golden;Store Permanent Stocker;N;3
11113;34925754058;Rusch;Ted;;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;16;(206) 555-3412;;1914-02-02 00:00:00;S;$130K - $150K;F;5;1;Partial College;1998-01-01 00:00:00;Bronze;Store Temporary Checker;N;2
11114;32719729408;Rusek;Pearlie;;Edgeham Hollow Winchester Way;London;;RG1 9SP;UK;16;(71) 555-5598;;1914-02-02 00:00:00;M;$130K - $150K;M;2;0;Bachelors Degree;1996-01-01 00:00:00;Bronze;Store Temporary Checker;N;1
11115;93084631372;Russell;Douglas;Y.;7 Houndstooth Rd.;London;;WG2 7LT;UK;17;(71) 555-4444;;1914-02-02 00:00:00;M;$90K - $110K;M;1;1;High School Degree;1996-01-01 00:00:00;Golden;Store Permanent Stocker;Y;1
11116;91458541684;Rutledge;Bryan;;4110 Old Redmond Rd.;Redmond;WA;98052;USA;11;(206) 555-8122;;1912-07-09 00:00:00;M;$10K - $30K;M;1;1;Bachelors Degree;1998-01-01 00:00:00;Silver;Store Manager;Y;2
11117;45342819425;Ryan;Justine;S.;7 Houndstooth Rd.;London;;WG2 7LT;UK;16;(71) 555-4444;;1914-02-02 00:00:00;M;$70K - $90K;M;1;1;Graduate Degree;1996-01-01 00:00:00;Silver;Store Temporary Checker;N;0
11118;79817820529;Sabella;Deanna;D.;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;15;(206) 555-3412;;1914-02-02 00:00:00;S;$130K - $150K;F;4;0;Partial High School;1998-01-01 00:00:00;Normal;Store Permanent Checker;N;0
11119;53398176933;Salazar;Alice;;7 Houndstooth Rd.;London;;WG2 7LT;UK;15;(71) 555-4444;;1914-02-02 00:00:00;M;$90K - $110K;M;5;5;Partial High School;1998-01-01 00:00:00;Golden;Store Permanent Checker;N;2
11120;51993665685;Sanchez;Charles;;4110 Old Redmond Rd.;Redmond;WA;98052;USA;19;(206) 555-8122;;1960-12-10 00:00:00;S;$30K - $50K;M;3;0;High School Degree;1997-01-01 00:00:00;Silver;Store Permanent Butcher;N;2
11121;93098341476;Sanchez;Madalena;;908 W. Capital Way;Tacoma;WA;98401;USA;15;(206) 555-9482;;1914-02-02 00:00:00;M;$70K - $90K;F;2;0;Partial High School;1996-01-01 00:00:00;Golden;Store Permanent Checker;N;0
11122;64939057677;Sanchez;Thomas;H.;Coventry HouseMiner Rd.;London;;EC2 7JR;UK;17;(71) 555-7773;;1914-02-02 00:00:00;M;$10K - $30K;M;3;2;Bachelors Degree;1998-01-01 00:00:00;Golden;Store Permanent Stocker;Y;1
11123;23988842516;Sanders;Daniel;I.;Edgeham Hollow Winchester Way;London;;RG1 9SP;UK;15;(71) 555-5598;;1914-02-02 00:00:00;S;$90K - $110K;M;1;0;High School Degree;1998-01-01 00:00:00;Golden;Store Permanent Checker;Y;2
11124;44908151950;Sandidge;Mary;;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;13;(206) 555-3412;;1961-09-24 00:00:00;M;$50K - $70K;M;1;0;Partial College;1998-01-01 00:00:00;Bronze;Store Shift Supervisor;Y;0
11125;68768506917;Sandy Kurtz;Christine;C.;908 W. Capital Way;Tacoma;WA;98401;USA;16;(206) 555-9482;;1914-02-02 00:00:00;S;$30K - $50K;M;4;0;Graduate Degree;1996-01-01 00:00:00;Silver;Store Temporary Checker;N;2
11126;88898806359;Santry;Rita;;908 W. Capital Way;Tacoma;WA;98401;USA;16;(206) 555-9482;;1914-02-02 00:00:00;M;$70K - $90K;M;3;0;High School Degree;1996-01-01 00:00:00;Silver;Store Temporary Checker;Y;1
11127;73188684705;Saunders;Lloyd;J.;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;16;(206) 555-3412;;1914-02-02 00:00:00;M;$110K - $130K;M;1;0;Bachelors Degree;1996-01-01 00:00:00;Bronze;Store Temporary Checker;Y;1
11128;63226414771;Saxton;Gina;;7 Houndstooth Rd.;London;;WG2 7LT;UK;15;(71) 555-4444;;1914-02-02 00:00:00;S;$50K - $70K;F;0;0;Partial High School;1996-01-01 00:00:00;Silver;Store Permanent Checker;Y;0
