1;VQSCJE;AAAGBGUUNE;1628128864 Dell Way;;MKHPWIJ;SD;74324;US;1;AAAGBGUUNE@dell.com;1628128864;2;2008508012164384;2011/12;user4180;password;72;60000;M
5;DRMYMX;AAEAUODIEF;2655239848 Dell Way;;WPBAGWD;TX;93106;US;1;AAEAUODIEF@dell.com;2655239848;5;5367479214910418;2008/08;user2602;password;49;40000;F
14;DARAQS;AANOLPUJWT;6770946523 Dell Way;;KBAOFEO;AL;32670;US;1;AANOLPUJWT@dell.com;6770946523;5;9754494500346484;2012/04;user4374;password;44;20000;F
17;RAYNQY;AAQDQKVTMW;6554355798 Dell Way;;ONAHTUE;CA;11693;US;1;AAQDQKVTMW@dell.com;6554355798;3;5312853781972081;2012/05;user1064;password;68;80000;F
20;WFPJQO;AARNRJYABZ;9966855545 Dell Way;;QCIFSXL;HI;25184;US;1;AARNRJYABZ@dell.com;9966855545;5;8936975180171431;2011/07;user7688;password;70;60000;M
23;XDSRVR;AAUYFQTLQE;8465634093 Dell Way;;UANGBCM;AZ;91595;US;1;AAUYFQTLQE@dell.com;8465634093;2;3506217957474291;2011/03;user9268;password;54;60000;F
31;XYKIWN;ABEBBUOLDG;6129438796 Dell Way;;MDBHPYV;TX;86980;US;1;ABEBBUOLDG@dell.com;6129438796;3;1415432384237647;2011/02;user3467;password;35;80000;F
47;BHXQOJ;ABTGLCHBNY;7824892065 Dell Way;;JXPYCGK;OR;43750;US;1;ABTGLCHBNY@dell.com;7824892065;3;2832651307340711;2009/02;user2900;password;55;40000;F
50;QXTCKR;ABUHUQSAFG;4014163305 Dell Way;;PFIPQEB;DC;43844;US;1;ABUHUQSAFG@dell.com;4014163305;3;4884245259687305;2009/12;user1752;password;29;100000;M
52;TKEMQC;ABYHLMOWIK;1968951434 Dell Way;;MHBWOKN;CA;22579;US;1;ABYHLMOWIK@dell.com;1968951434;4;4599606577772647;2011/07;user5164;password;40;60000;M
54;YRXJBR;ABZKLFOPSF;1346511330 Dell Way;;ZSYGVCE;WY;12401;US;1;ABZKLFOPSF@dell.com;1346511330;1;3487513878848404;2011/06;user3162;password;62;80000;F
55;AXLFQU;ACBGZAJIHS;7024495896 Dell Way;;EDXARBP;NC;46648;US;1;ACBGZAJIHS@dell.com;7024495896;4;3695223637856543;2009/12;user2887;password;21;40000;M
64;FFGOVH;ACIYQYPHHI;9044879639 Dell Way;;EZWEARD;GA;24097;US;1;ACIYQYPHHI@dell.com;9044879639;2;6586597774177790;2009/04;user4268;password;79;80000;F
66;VOOUAI;ACKLQSRXAB;1384802236 Dell Way;;YFDBHAH;WY;20460;US;1;ACKLQSRXAB@dell.com;1384802236;2;8670015658717603;2012/11;user588;password;59;100000;F
68;BCIRTA;ACKUCAHJXS;6387801842 Dell Way;;ILYAVFA;TN;28187;US;1;ACKUCAHJXS@dell.com;6387801842;4;9890112339984628;2009/03;user7549;password;66;60000;F
71;DAHTVV;ACLLBIWQFT;5880426484 Dell Way;;OYDOOFK;WI;88726;US;1;ACLLBIWQFT@dell.com;5880426484;2;4480013030115515;2009/08;user6459;password;36;60000;M
75;OXNNTW;ACOQKLYKNA;1271351584 Dell Way;;WIMUYID;WI;40293;US;1;ACOQKLYKNA@dell.com;1271351584;5;4526037117466331;2009/08;user2121;password;52;100000;F
79;RUQXGT;ACRSHJLTWU;4332838926 Dell Way;;COYNLHC;NC;69147;US;1;ACRSHJLTWU@dell.com;4332838926;1;9510643584188076;2008/10;user9783;password;25;80000;M
84;PBJDZA;ACVOCCKCNH;6347327366 Dell Way;;EGZBNLQ;HI;99473;US;1;ACVOCCKCNH@dell.com;6347327366;5;7611392918042839;2008/03;user3344;password;69;80000;F
85;OWZXHQ;ACYCKCXFYI;8536164774 Dell Way;;JSSOLOV;WI;78286;US;1;ACYCKCXFYI@dell.com;8536164774;1;9069202703423800;2010/01;user9075;password;87;100000;M
88;KHJBWV;ADARDXYQHC;6676205482 Dell Way;;YKLRTQV;ID;20923;US;1;ADARDXYQHC@dell.com;6676205482;1;8199273735750467;2011/06;user3233;password;38;20000;M
89;ESIBSF;ADATGYDMLV;9128354326 Dell Way;;ZVWLYRK;NV;41326;US;1;ADATGYDMLV@dell.com;9128354326;5;5662215906661004;2010/06;user2831;password;41;60000;F
94;WHSIUR;ADFILNYKKW;2585578940 Dell Way;;VSSVEPH;AL;34847;US;1;ADFILNYKKW@dell.com;2585578940;3;3266492069233209;2008/12;user241;password;58;20000;F
