4;YUMDLT;AADUBUUQDB;1319501594 Dell Way;;GCXKWUB;;0;Japan;2;AADUBUUQDB@dell.com;1319501594;4;6620672855060548;2012/10;user18555;password;45;40000;M
8;UAFNIE;AAFOHUJYIX;2978813279 Dell Way;;KWUXPGP;;0;China;2;AAFOHUJYIX@dell.com;2978813279;2;8418759502936155;2009/05;user15826;password;77;40000;F
9;RPRFED;AAGMNYDGXB;6432375101 Dell Way;;WGBYNGW;;0;UK;2;AAGMNYDGXB@dell.com;6432375101;5;5623446553479881;2009/07;user12652;password;25;40000;F
10;YUXQLK;AAIBCECWEO;8617554910 Dell Way;;ADVPOHB;;0;Germany;2;AAIBCECWEO@dell.com;8617554910;3;7366526362486184;2012/04;user16022;password;74;60000;F
16;DCOEVA;AAPVRLZZZO;4707031819 Dell Way;;UYKMJTH;;0;France;2;AAPVRLZZZO@dell.com;4707031819;3;7227611752692611;2012/06;user11879;password;35;60000;M
18;XRTCXK;AARDPZYBBL;3232247753 Dell Way;;TPXDTTZ;;0;Australia;2;AARDPZYBBL@dell.com;3232247753;2;6324550307821483;2009/07;user13476;password;40;20000;F
24;ZQCXVT;AAXMCLIQKB;8574773832 Dell Way;;BBSSDUH;;0;Russia;2;AAXMCLIQKB@dell.com;8574773832;1;3964398718439043;2008/06;user15406;password;21;100000;F
25;QSGBFB;AAYHAMDBXY;5616670124 Dell Way;;PUSEZGL;;0;UK;2;AAYHAMDBXY@dell.com;5616670124;2;4317306459415704;2010/12;user15256;password;56;100000;M
26;CPQKGT;ABAHZCFFYA;2021649017 Dell Way;;DJXNYBU;;0;Japan;2;ABAHZCFFYA@dell.com;2021649017;4;8133483515586705;2011/11;user12328;password;76;100000;M
27;EJEWQD;ABBHZEMWQH;1384414468 Dell Way;;KPIMGDU;;0;Russia;2;ABBHZEMWQH@dell.com;1384414468;4;5016284395474941;2011/10;user19120;password;57;80000;M
28;FFOWFB;ABBMZTYIYA;7837703134 Dell Way;;SGIFVLS;;0;Russia;2;ABBMZTYIYA@dell.com;7837703134;2;2066565092653036;2011/11;user14622;password;43;20000;F
29;XKCYBJ;ABCRHQKEZY;5479164931 Dell Way;;IIKCKXD;;0;UK;2;ABCRHQKEZY@dell.com;5479164931;1;6555233865976334;2009/12;user16842;password;62;60000;M
30;IBODRW;ABDQERGZDS;2110785080 Dell Way;;IHYQVHZ;;0;China;2;ABDQERGZDS@dell.com;2110785080;4;1842843560036271;2009/11;user13804;password;33;20000;F
33;BKLMHJ;ABGBDXYYGH;6665063749 Dell Way;;CUHCYZG;;0;Russia;2;ABGBDXYYGH@dell.com;6665063749;2;9479028847534210;2011/07;user17910;password;90;80000;M
34;SLSKNK;ABGDXJPVXB;5157547191 Dell Way;;LBQEWJF;;0;Russia;2;ABGDXJPVXB@dell.com;5157547191;2;4266592064406723;2009/06;user12022;password;23;80000;F
37;LWYCAX;ABIJPLOJOP;9216513536 Dell Way;;OFSGGZP;;0;Australia;2;ABIJPLOJOP@dell.com;9216513536;1;8837725177872927;2009/06;user15818;password;58;20000;M
38;BCAYOB;ABJSQWIIVL;3400267315 Dell Way;;BOBBNGW;;0;Chile;2;ABJSQWIIVL@dell.com;3400267315;1;5255055434070528;2012/08;user13947;password;45;80000;M
45;LNWRVP;ABOMORTWGJ;8849164799 Dell Way;;SWTENFP;;0;Japan;2;ABOMORTWGJ@dell.com;8849164799;4;3480356064625084;2010/05;user12974;password;78;40000;M
48;ZNGCTI;ABTLTYXFWY;9564042526 Dell Way;;RHEBGEK;;0;Japan;2;ABTLTYXFWY@dell.com;9564042526;4;8521335251629353;2010/07;user17503;password;81;20000;M
57;PJQMWW;ACCQJJVIEL;3914284228 Dell Way;;PDWZESU;;0;France;2;ACCQJJVIEL@dell.com;3914284228;1;8483497018925846;2011/09;user17489;password;85;80000;F
