2;Derek;Roman;657 Baird St;;Milledgeville;AR;72142;USA;2;droman@everyma1l.net;803-962-1974;5;9453359256498516;2010/04;user15871;password;59;40000;F
3;Anna;Acosta;737 Shinnick Park;;Gumbranch;DC;20181;USA;2;somethingmy@gma1l.com;319-030-9096;2;5895467503927649;2009/09;user10867;password;40;40000;M
4;Caleb;Bartlett;1527 Mundy Park;;Baconton;IA;51988;USA;2;wherewith@ma1l2u.info;309-671-5453;4;6620672855060548;2012/10;user18555;password;45;40000;M
6;Martha;Martin;1772 Maple St;;Thomson;TN;38128;USA;2;tookbuild25@hotma1l.org;419-545-0668;1;6634661543183029;2009/07;user16401;password;35;20000;M
7;Clarence;Gaines;424 Humphrey Circle;;Lax;AK;99812;USA;2;cgaines@yah00.net;671-972-0629;3;2533093265257776;2010/03;user11741;password;77;60000;F
8;Michelle;Campbell;597 Wedgewood Run;Apt #100739;Adairsville;HI;22928;USA;2;illshow@hotma1l.us;507-179-3371;2;8418759502936155;2009/05;user15826;password;77;40000;F
9;Chase;Cervantes;705 Dresden Circle;;Thomaston;GA;30841;USA;2;ccervantes@yah00.com;623-639-7371;5;5623446553479881;2009/07;user12652;password;25;40000;F
10;Raymond;Nelson;1627 Gaslight Boulevard;;Graham;UT;84244;USA;2;rnelson61@everyma1l.co.uk;913-976-6078;3;7366526362486184;2012/04;user16022;password;74;60000;F
11;Dawn;Ferrell;432 Dearborn Road;;Oxford;LA;71104;USA;2;myhatch@hotma1l.co.uk;989-408-7476;1;9870477065443994;2009/03;user13929;password;84;100000;M
12;Carl;Lane;1590 Crown Court;;Centerville;WV;26052;USA;2;magneticare@hotma1l.org;430-771-2021;3;3438030994962901;2012/06;user10277;password;76;20000;M
15;Craig;Clay;1761 Perryton Path;;Oakwood;MI;49483;USA;2;cclay@b1zmail.biz;473-123-9325;4;3908677154686302;2011/12;user13567;password;69;20000;M
16;Kevin;Myers;1672 Moorewood St;;Warrenton;WV;25007;USA;2;kmyers@gma1l.net;361-811-5539;3;7227611752692611;2012/06;user11879;password;35;60000;M
18;Raymond;Michael;1481 Candlestick Drv;;Arlington;ME;4276;USA;2;rmichael@gma1l.us;810-627-9082;2;6324550307821483;2009/07;user13476;password;40;20000;F
