1;Andrea;Small;1439 Bennett Boulevard;;Bogart;OR;97794;USA;1;sowant@hotma1l.net;973-963-9547;2;2008508012164384;2011/12;user4180;password;72;60000;M
5;Lance;Rich;1637 Murray Parkway;;Retreat;NC;27678;USA;1;lrich@yah00.net;289-022-3564;5;5367479214910418;2008/08;user2602;password;49;40000;F
13;Matthew;Welch;549 Shandon Circle;;Register;TX;75818;USA;1;roomheadphones@everyma1l.us;809-538-5640;3;2385808294173330;2011/04;user1585;password;31;40000;M
14;Alicia;Carson;993 Hunt Rd;;Sterling;AR;71620;USA;1;acarson@gma1l.org;786-226-8782;5;9754494500346484;2012/04;user4374;password;44;20000;F
17;Chastity;Abbott;987 Merriam Ln;;Watkinsville;UT;84049;USA;1;firebuild7@somema1l.net;671-152-8872;3;5312853781972081;2012/05;user1064;password;68;80000;F
20;Charlie;Gilliam;1415 Ballov Heights;Suite #100880;Quitman;WV;25827;USA;1;cgilliam@yah00.com;678-003-8646;5;8936975180171431;2011/07;user7688;password;70;60000;M
21;Ralph;Levy;918 Penney Ave;;Sasser;CT;6525;USA;1;rlevy@ma1lbox.info;309-080-9864;3;1337094429880380;2010/10;user8995;password;29;60000;F
22;Johnathan;McGuire;1755 Dawson Avenue;;Hopeulikit;SC;29079;USA;1;redinterest@hotma1l.info;856-044-5543;1;4470887362957001;2008/12;user5043;password;66;80000;M
23;Charlotte;Whitney;1216 Eastern Drive;;Mystic;NJ;8238;USA;1;toprobably@gma1l.us;740-675-7833;2;3506217957474291;2011/03;user9268;password;54;60000;F
31;Troy;Golden;1301 Clarice Ridge;;Sterling;DC;20475;USA;1;tgolden@everyma1l.com;403-423-1463;3;1415432384237647;2011/02;user3467;password;35;80000;F
32;Kelly;Puckett;963 Eppley Road;;Ringgold;MS;39323;USA;1;ofboon@ma1lbox.us;947-234-6936;2;8442074856255204;2010/11;user6418;password;30;100000;M
