2;DVIWLY;AABUYOLNAK;2818178329 Dell Way;;QNSADEX;;0;Chile;2;AABUYOLNAK@dell.com;2818178329;5;9453359256498516;2010/04;user15871;password;59;40000;F
3;CNXMVY;AADAFNNLHO;5099450045 Dell Way;;GVBNKCN;;0;Russia;2;AADAFNNLHO@dell.com;5099450045;2;5895467503927649;2009/09;user10867;password;40;40000;M
4;YUMDLT;AADUBUUQDB;1319501594 Dell Way;;GCXKWUB;;0;Japan;2;AADUBUUQDB@dell.com;1319501594;4;6620672855060548;2012/10;user18555;password;45;40000;M
6;MOHNVU;AAEISJVCTQ;2876176359 Dell Way;;QDNQXLO;;0;Canada;2;AAEISJVCTQ@dell.com;2876176359;1;6634661543183029;2009/07;user16401;password;35;20000;M
7;WFXPQD;AAFBJKLDVM;6149649224 Dell Way;;RRTZHNU;;0;UK;2;AAFBJKLDVM@dell.com;6149649224;3;2533093265257776;2010/03;user11741;password;77;60000;F
8;UAFNIE;AAFOHUJYIX;2978813279 Dell Way;;KWUXPGP;;0;China;2;AAFOHUJYIX@dell.com;2978813279;2;8418759502936155;2009/05;user15826;password;77;40000;F
9;RPRFED;AAGMNYDGXB;6432375101 Dell Way;;WGBYNGW;;0;UK;2;AAGMNYDGXB@dell.com;6432375101;5;5623446553479881;2009/07;user12652;password;25;40000;F
10;YUXQLK;AAIBCECWEO;8617554910 Dell Way;;ADVPOHB;;0;Germany;2;AAIBCECWEO@dell.com;8617554910;3;7366526362486184;2012/04;user16022;password;74;60000;F
11;SYMYAG;AAJJPGXGPZ;5471728846 Dell Way;;YANISTD;;0;Australia;2;AAJJPGXGPZ@dell.com;5471728846;1;9870477065443994;2009/03;user13929;password;84;100000;M
12;HZMOWJ;AALCSWGJUW;9621761116 Dell Way;;HLSIPDC;;0;Canada;2;AALCSWGJUW@dell.com;9621761116;3;3438030994962901;2012/06;user10277;password;76;20000;M
15;SFECKP;AAPHFDZYKK;2615133468 Dell Way;;GYJBHBW;;0;South Africa;2;AAPHFDZYKK@dell.com;2615133468;4;3908677154686302;2011/12;user13567;password;69;20000;M
16;DCOEVA;AAPVRLZZZO;4707031819 Dell Way;;UYKMJTH;;0;France;2;AAPVRLZZZO@dell.com;4707031819;3;7227611752692611;2012/06;user11879;password;35;60000;M
18;XRTCXK;AARDPZYBBL;3232247753 Dell Way;;TPXDTTZ;;0;Australia;2;AARDPZYBBL@dell.com;3232247753;2;6324550307821483;2009/07;user13476;password;40;20000;F
19;LRVGME;AARIEMOYZC;4399590697 Dell Way;;WGLUTJW;;0;Australia;2;AARIEMOYZC@dell.com;4399590697;2;8028792794793845;2009/07;user19764;password;88;20000;M
24;ZQCXVT;AAXMCLIQKB;8574773832 Dell Way;;BBSSDUH;;0;Russia;2;AAXMCLIQKB@dell.com;8574773832;1;3964398718439043;2008/06;user15406;password;21;100000;F
25;QSGBFB;AAYHAMDBXY;5616670124 Dell Way;;PUSEZGL;;0;UK;2;AAYHAMDBXY@dell.com;5616670124;2;4317306459415704;2010/12;user15256;password;56;100000;M
26;CPQKGT;ABAHZCFFYA;2021649017 Dell Way;;DJXNYBU;;0;Japan;2;ABAHZCFFYA@dell.com;2021649017;4;8133483515586705;2011/11;user12328;password;76;100000;M
27;EJEWQD;ABBHZEMWQH;1384414468 Dell Way;;KPIMGDU;;0;Russia;2;ABBHZEMWQH@dell.com;1384414468;4;5016284395474941;2011/10;user19120;password;57;80000;M
28;FFOWFB;ABBMZTYIYA;7837703134 Dell Way;;SGIFVLS;;0;Russia;2;ABBMZTYIYA@dell.com;7837703134;2;2066565092653036;2011/11;user14622;password;43;20000;F
29;XKCYBJ;ABCRHQKEZY;5479164931 Dell Way;;IIKCKXD;;0;UK;2;ABCRHQKEZY@dell.com;5479164931;1;6555233865976334;2009/12;user16842;password;62;60000;M
30;IBODRW;ABDQERGZDS;2110785080 Dell Way;;IHYQVHZ;;0;China;2;ABDQERGZDS@dell.com;2110785080;4;1842843560036271;2009/11;user13804;password;33;20000;F
33;BKLMHJ;ABGBDXYYGH;6665063749 Dell Way;;CUHCYZG;;0;Russia;2;ABGBDXYYGH@dell.com;6665063749;2;9479028847534210;2011/07;user17910;password;90;80000;M
34;SLSKNK;ABGDXJPVXB;5157547191 Dell Way;;LBQEWJF;;0;Russia;2;ABGDXJPVXB@dell.com;5157547191;2;4266592064406723;2009/06;user12022;password;23;80000;F
